ci_id;name;description;country;lsp
1;SZ;Railway operator in charge of rail traffic management;SLO;1
3;PET;Petrol's (PET) oil products (fuels) large warehouse;SLO;1
2;LUK;Port of Koper;SLO;1
5;DARS;Slovenian highway roads operator;SLO;1
4;TS;Telekom Slovenia;SLO;1
208;SI-POL;Slovenian Police;SLO;1
106;LUR;Port control centre;CRO;1
201;FST;Railway operator in charge of rail traffic management;ITA;1
202;MDI;Italian railway police;ITA;1
206;IRO;Italian highway road operator;ITA;1
11;SDIS73;Savoie Departmental Fire and Rescue Service;FRA;1
12;SITAF;Italian Company Highway Frejus Tunnel ;FRA;1
13;SFTRF;French company of the Frejus road tunnel;FRA;1
